Station;year;month;day;601;pc
3427050;2014;1;1;0;24
3427050;2014;1;2;0;24
3427050;2014;1;3;0;24
3427050;2014;1;4;0;24
3427050;2014;1;5;0;24
3427050;2014;1;6;0;24
3427050;2014;1;7;0;24
3427050;2014;1;8;7,9;24
3427050;2014;1;9;0,2;24
3427050;2014;1;10;0;24
3427050;2014;1;11;0;24
3427050;2014;1;12;0;24
3427050;2014;1;13;0;24
3427050;2014;1;14;1,9;24
3427050;2014;1;15;7,7;24
3427050;2014;1;16;5,8;24
3427050;2014;1;17;1,9;24
3427050;2014;1;18;0;24
3427050;2014;1;19;0;24
3427050;2014;1;20;0;24
3427050;2014;1;21;3,1;24
3427050;2014;1;22;0;24
3427050;2014;1;23;0;24
3427050;2014;1;24;0,1;24
3427050;2014;1;25;0,2;24
3427050;2014;1;26;0;24
3427050;2014;1;27;0,8;24
3427050;2014;1;28;2,7;24
3427050;2014;1;29;0;24
3427050;2014;1;30;0;24
3427050;2014;1;31;0;24
3427050;2014;2;1;0,9;24
3427050;2014;2;2;0,2;24
3427050;2014;2;3;0;24
3427050;2014;2;4;0;24
3427050;2014;2;5;6,9;24
3427050;2014;2;6;3,9;24
3427050;2014;2;7;7,2;24
3427050;2014;2;8;4,9;24
3427050;2014;2;9;4;24
3427050;2014;2;10;0;24
3427050;2014;2;11;0;24
3427050;2014;2;12;0;24
3427050;2014;2;13;0,4;24
3427050;2014;2;14;5,3;24
3427050;2014;2;15;0,6;24
3427050;2014;2;16;0;24
3427050;2014;2;17;0;24
3427050;2014;2;18;0,3;24
3427050;2014;2;19;0;24
3427050;2014;2;20;0;24
3427050;2014;2;21;0;24
3427050;2014;2;22;1,7;24
3427050;2014;2;23;0;24
3427050;2014;2;24;0;24
3427050;2014;2;25;0;24
3427050;2014;2;26;0;24
3427050;2014;2;27;0;24
3427050;2014;2;28;0;24
3427050;2014;3;1;0;24
3427050;2014;3;2;0,2;24
3427050;2014;3;3;13,2;24
3427050;2014;3;4;0,7;24
3427050;2014;3;5;0;24
3427050;2014;3;6;0,4;24
3427050;2014;3;7;0;24
3427050;2014;3;8;0;24
3427050;2014;3;9;0;24
3427050;2014;3;10;0;24
3427050;2014;3;11;1,7;24
3427050;2014;3;12;0,5;24
3427050;2014;3;13;2,5;24
3427050;2014;3;14;10,1;24
3427050;2014;3;15;0,2;24
3427050;2014;3;16;0;24
3427050;2014;3;17;0;24
3427050;2014;3;18;0;24
3427050;2014;3;19;0;24
3427050;2014;3;20;0;24
3427050;2014;3;21;0;24
3427050;2014;3;22;0,4;24
3427050;2014;3;23;7;24
3427050;2014;3;24;0;24
3427050;2014;3;25;0,7;24
3427050;2014;3;26;0;24
3427050;2014;3;27;0;24
3427050;2014;3;28;0;24
3427050;2014;3;29;0;24
3427050;2014;3;30;0;24
3427050;2014;3;31;0;24
3427050;2014;4;1;2,4;24
3427050;2014;4;2;0;24
3427050;2014;4;3;0;24
3427050;2014;4;4;0,4;24
3427050;2014;4;5;0,4;24
3427050;2014;4;6;0;24
3427050;2014;4;7;0;24
3427050;2014;4;8;0;24
3427050;2014;4;9;3,8;24
3427050;2014;4;10;2,2;24
3427050;2014;4;11;5,1;24
3427050;2014;4;12;0;24
3427050;2014;4;13;0;24
3427050;2014;4;14;0,6;24
3427050;2014;4;15;0;24
3427050;2014;4;16;46,2;24
3427050;2014;4;17;0,5;24
3427050;2014;4;18;0,6;24
3427050;2014;4;19;0;24
3427050;2014;4;20;0;24
3427050;2014;4;21;0;24
3427050;2014;4;22;1,2;24
3427050;2014;4;23;0;24
3427050;2014;4;24;0;24
3427050;2014;4;25;0;24
3427050;2014;4;26;0;24
3427050;2014;4;27;0;24
3427050;2014;4;28;0,3;24
3427050;2014;4;29;1;24
3427050;2014;4;30;0;24
3427050;2014;5;1;0;24
3427050;2014;5;2;0;24
3427050;2014;5;3;0;24
3427050;2014;5;4;0;24
3427050;2014;5;5;0,6;24
3427050;2014;5;6;0;24
3427050;2014;5;7;0;24
3427050;2014;5;8;1,6;24
3427050;2014;5;9;0,3;24
3427050;2014;5;10;0;24
3427050;2014;5;11;0;24
3427050;2014;5;12;0;24
3427050;2014;5;13;0;24
3427050;2014;5;14;0;24
3427050;2014;5;15;2;24
3427050;2014;5;16;0;24
3427050;2014;5;17;0;24
3427050;2014;5;18;0;24
3427050;2014;5;19;0;24
3427050;2014;5;20;0;24
3427050;2014;5;21;7,5;24
3427050;2014;5;22;7,2;24
3427050;2014;5;23;0;24
3427050;2014;5;24;0;24
3427050;2014;5;25;0;24
3427050;2014;5;26;0;24
3427050;2014;5;27;0;24
3427050;2014;5;28;0;24
3427050;2014;5;29;0;24
3427050;2014;5;30;3;24
3427050;2014;5;31;2,7;24
3427050;2014;6;1;0,2;24
3427050;2014;6;2;1;24
3427050;2014;6;3;0;24
3427050;2014;6;4;0;24
3427050;2014;6;5;8,3;24
3427050;2014;6;6;18,3;24
3427050;2014;6;7;7,7;24
3427050;2014;6;8;0;24
3427050;2014;6;9;0;24
3427050;2014;6;10;0;24
3427050;2014;6;11;0;24
3427050;2014;6;12;0;24
3427050;2014;6;13;0;24
3427050;2014;6;14;0;24
3427050;2014;6;15;0,4;24
3427050;2014;6;16;1,7;24
3427050;2014;6;17;1;24
3427050;2014;6;18;0;24
3427050;2014;6;19;0;24
3427050;2014;6;20;0;24
3427050;2014;6;21;0;24
3427050;2014;6;22;0;24
3427050;2014;6;23;0,5;24
3427050;2014;6;24;1,1;24
3427050;2014;6;25;4,2;24
3427050;2014;6;26;0,4;24
3427050;2014;6;27;0;24
3427050;2014;6;28;4,9;24
3427050;2014;6;29;0;24
3427050;2014;6;30;0;24
3427050;2014;7;1;0;24
3427050;2014;7;2;0;24
3427050;2014;7;3;0;24
3427050;2014;7;4;0,1;24
3427050;2014;7;5;0;24
3427050;2014;7;6;0;24
3427050;2014;7;7;0,3;24
3427050;2014;7;8;2,6;24
3427050;2014;7;9;1,2;24
3427050;2014;7;10;0;24
3427050;2014;7;11;0;24
3427050;2014;7;12;0,1;24
3427050;2014;7;13;0;24
3427050;2014;7;14;0;24
3427050;2014;7;15;0;24
3427050;2014;7;16;0;24
3427050;2014;7;17;0;24
3427050;2014;7;18;0;24
3427050;2014;7;19;0;24
3427050;2014;7;20;0;24
3427050;2014;7;21;0;24
3427050;2014;7;22;0;24
3427050;2014;7;23;0;24
3427050;2014;7;24;0;24
3427050;2014;7;25;8,7;24
3427050;2014;7;26;0,3;24
3427050;2014;7;27;0;24
3427050;2014;7;28;0;24
3427050;2014;7;29;0;24
3427050;2014;7;30;0;24
3427050;2014;7;31;0;24
3427050;2014;8;1;23,9;24
3427050;2014;8;2;2,2;24
3427050;2014;8;3;0;24
3427050;2014;8;4;0;24
3427050;2014;8;5;0;24
3427050;2014;8;6;0;24
3427050;2014;8;7;0;24
3427050;2014;8;8;0;24
3427050;2014;8;9;0;24
3427050;2014;8;10;0;24
3427050;2014;8;11;0;24
3427050;2014;8;12;2,2;24
3427050;2014;8;13;0;24
3427050;2014;8;14;0;24
3427050;2014;8;15;0;24
3427050;2014;8;16;0;24
3427050;2014;8;17;0;24
3427050;2014;8;18;0;24
3427050;2014;8;19;0;24
3427050;2014;8;20;0;24
3427050;2014;8;21;0;24
3427050;2014;8;22;0;24
3427050;2014;8;23;0;24
3427050;2014;8;24;3,5;24
3427050;2014;8;25;0;24
3427050;2014;8;26;0;24
3427050;2014;8;27;1,6;24
3427050;2014;8;28;1,9;24
3427050;2014;8;29;0;24
3427050;2014;8;30;0;24
3427050;2014;8;31;8,3;24
3427050;2014;9;1;0;24
3427050;2014;9;2;0;24
3427050;2014;9;3;10,5;24
3427050;2014;9;4;7,6;24
3427050;2014;9;5;0;24
3427050;2014;9;6;0;24
3427050;2014;9;7;0,1;24
3427050;2014;9;8;2,5;24
3427050;2014;9;9;0;24
3427050;2014;9;10;24,3;24
3427050;2014;9;11;3,8;24
3427050;2014;9;12;15,5;24
3427050;2014;9;13;8,1;24
3427050;2014;9;14;0;24
3427050;2014;9;15;0;24
3427050;2014;9;16;0;24
3427050;2014;9;17;0;24
3427050;2014;9;18;5,1;24
3427050;2014;9;19;1,2;24
3427050;2014;9;20;15,3;24
3427050;2014;9;21;17,3;24
3427050;2014;9;22;0,5;24
3427050;2014;9;23;33,1;24
3427050;2014;9;24;0,4;24
3427050;2014;9;25;0;24
3427050;2014;9;26;0;24
3427050;2014;9;27;0;24
3427050;2014;9;28;3;24
3427050;2014;9;29;0;24
3427050;2014;9;30;0,3;24
3427050;2014;10;1;0;24
3427050;2014;10;2;0;24
3427050;2014;10;3;0;24
3427050;2014;10;4;0;24
3427050;2014;10;5;0;24
3427050;2014;10;6;0;24
3427050;2014;10;7;0;24
3427050;2014;10;8;0;24
3427050;2014;10;9;0;24
3427050;2014;10;10;0,3;24
3427050;2014;10;11;0;24
3427050;2014;10;12;0;24
3427050;2014;10;13;0;24
3427050;2014;10;14;0;24
3427050;2014;10;15;0;24
3427050;2014;10;16;0;24
3427050;2014;10;17;1,4;24
3427050;2014;10;18;1,3;24
3427050;2014;10;19;0;24
3427050;2014;10;20;0,4;24
3427050;2014;10;21;1,3;24
3427050;2014;10;22;0,2;24
3427050;2014;10;23;0;24
3427050;2014;10;24;0;24
3427050;2014;10;25;0;24
3427050;2014;10;26;0;24
3427050;2014;10;27;0;24
3427050;2014;10;28;0;24
3427050;2014;10;29;0;24
3427050;2014;10;30;0;24
3427050;2014;10;31;0;24
3427050;2014;11;1;0;24
3427050;2014;11;2;0;24
3427050;2014;11;3;0;24
3427050;2014;11;4;0;24
3427050;2014;11;5;0;24
3427050;2014;11;6;0;24
3427050;2014;11;7;0,9;24
3427050;2014;11;8;0;24
3427050;2014;11;9;0;24
3427050;2014;11;10;0;24
3427050;2014;11;11;0;24
3427050;2014;11;12;0;24
3427050;2014;11;13;0;24
3427050;2014;11;14;3,8;24
3427050;2014;11;15;0;24
3427050;2014;11;16;1;24
3427050;2014;11;17;2,5;24
3427050;2014;11;18;0;24
3427050;2014;11;19;2,4;24
3427050;2014;11;20;3,5;24
3427050;2014;11;21;2,3;24
3427050;2014;11;22;0;24
3427050;2014;11;23;0;24
3427050;2014;11;24;0;24
3427050;2014;11;25;0;24
3427050;2014;11;26;0;24
3427050;2014;11;27;1,4;24
3427050;2014;11;28;0;24
3427050;2014;11;29;0;24
3427050;2014;11;30;0;24
3427050;2014;12;1;8,9;24
3427050;2014;12;2;0;24
3427050;2014;12;3;0;24
3427050;2014;12;4;6,6;24
3427050;2014;12;5;5,9;24
3427050;2014;12;6;0;24
3427050;2014;12;7;0;24
3427050;2014;12;8;0;24
3427050;2014;12;9;0;24
3427050;2014;12;10;0;24
3427050;2014;12;11;0;24
3427050;2014;12;12;1,6;24
3427050;2014;12;13;0;24
3427050;2014;12;14;9,1;24
3427050;2014;12;15;21,2;24
3427050;2014;12;16;0,2;24
3427050;2014;12;17;2,8;24
3427050;2014;12;18;0;24
3427050;2014;12;19;0;24
3427050;2014;12;20;0;24
3427050;2014;12;21;0;24
3427050;2014;12;22;0;24
3427050;2014;12;23;0;24
3427050;2014;12;24;0;24
3427050;2014;12;25;0;24
3427050;2014;12;26;2,7;24
3427050;2014;12;27;3,2;24
3427050;2014;12;28;2,4;24
3427050;2014;12;29;3,9;24
3427050;2014;12;30;0;24
3427050;2014;12;31;1,9;24
3427050;2015;1;1;0;24
3427050;2015;1;2;0;24
3427050;2015;1;3;0;24
3427050;2015;1;4;0;24
3427050;2015;1;5;0;24
3427050;2015;1;6;0;24
3427050;2015;1;7;0;24
3427050;2015;1;8;0;24
3427050;2015;1;9;0;24
3427050;2015;1;10;0;24
3427050;2015;1;11;0;24
3427050;2015;1;12;0;24
3427050;2015;1;13;0;24
3427050;2015;1;14;2,9;24
3427050;2015;1;15;3,5;24
3427050;2015;1;16;0,1;24
3427050;2015;1;17;0,4;24
3427050;2015;1;18;0,1;24
3427050;2015;1;19;1,3;24
3427050;2015;1;20;0;24
3427050;2015;1;21;5,1;24
3427050;2015;1;22;0;24
3427050;2015;1;23;0;24
3427050;2015;1;24;0;24
3427050;2015;1;25;0;24
3427050;2015;1;26;7,4;24
3427050;2015;1;27;0;24
3427050;2015;1;28;0;24
3427050;2015;1;29;0,9;24
3427050;2015;1;30;0;24
3427050;2015;1;31;0;24
3427050;2015;2;1;15,4;24
3427050;2015;2;2;5,4;24
3427050;2015;2;3;2,9;24
3427050;2015;2;4;6,9;24
3427050;2015;2;5;3,2;24
3427050;2015;2;6;66,3;24
3427050;2015;2;7;13,1;24
3427050;2015;2;8;0,2;24
3427050;2015;2;9;0;24
3427050;2015;2;10;0;24
3427050;2015;2;11;8,2;24
3427050;2015;2;12;0,3;24
3427050;2015;2;13;0;24
3427050;2015;2;14;0,4;24
3427050;2015;2;15;0;24
3427050;2015;2;16;0,9;24
3427050;2015;2;17;0;24
3427050;2015;2;18;0,2;24
3427050;2015;2;19;0;24
3427050;2015;2;20;0,1;24
3427050;2015;2;21;0;24
3427050;2015;2;22;0,1;24
3427050;2015;2;23;0;24
3427050;2015;2;24;0;24
3427050;2015;2;25;0;24
3427050;2015;2;26;0;24
3427050;2015;2;27;0,5;24
3427050;2015;2;28;1,6;24
3427050;2015;3;1;1,8;24
3427050;2015;3;2;1,1;24
3427050;2015;3;3;2,2;24
3427050;2015;3;4;1,7;24
3427050;2015;3;5;0;24
3427050;2015;3;6;1,1;24
3427050;2015;3;7;0,1;24
3427050;2015;3;8;0;24
3427050;2015;3;9;0;24
3427050;2015;3;10;0;24
3427050;2015;3;11;0;24
3427050;2015;3;12;0;24
3427050;2015;3;13;0,8;24
3427050;2015;3;14;0,2;24
3427050;2015;3;15;0;24
3427050;2015;3;16;0;24
3427050;2015;3;17;0;24
3427050;2015;3;18;0;24
3427050;2015;3;19;7,5;24
3427050;2015;3;20;0;24
3427050;2015;3;21;0,7;24
3427050;2015;3;22;0;24
3427050;2015;3;23;1,4;24
3427050;2015;3;24;2,3;24
3427050;2015;3;25;0;24
3427050;2015;3;26;0;24
3427050;2015;3;27;0;24
3427050;2015;3;28;0;24
3427050;2015;3;29;1;24
3427050;2015;3;30;0;24
3427050;2015;3;31;0;24
3427050;2015;4;1;0;24
3427050;2015;4;2;0;24
3427050;2015;4;3;0;24
3427050;2015;4;4;0;24
3427050;2015;4;5;0;24
3427050;2015;4;6;3,4;24
3427050;2015;4;7;1;24
3427050;2015;4;8;0;24
3427050;2015;4;9;0;24
3427050;2015;4;10;0;24
3427050;2015;4;11;0;24
3427050;2015;4;12;0;24
3427050;2015;4;13;4,9;24
3427050;2015;4;14;17,1;24
3427050;2015;4;15;13,4;24
3427050;2015;4;16;0,4;24
3427050;2015;4;17;0;24
3427050;2015;4;18;1,4;24
3427050;2015;4;19;0,2;24
3427050;2015;4;20;0;24
3427050;2015;4;21;0;24
3427050;2015;4;22;0;24
3427050;2015;4;23;0,3;24
3427050;2015;4;24;0;24
3427050;2015;4;25;3,3;24
3427050;2015;4;26;0;24
3427050;2015;4;27;0;24
3427050;2015;4;28;0;24
3427050;2015;4;29;0;24
3427050;2015;4;30;0;24
3427050;2015;5;1;0,1;24
3427050;2015;5;2;0;24
3427050;2015;5;3;0;24
3427050;2015;5;4;0;24
3427050;2015;5;5;0;24
3427050;2015;5;6;0;24
3427050;2015;5;7;0;24
3427050;2015;5;8;0;24
3427050;2015;5;9;1,9;24
3427050;2015;5;10;2,2;24
3427050;2015;5;11;0;24
3427050;2015;5;12;0;24
3427050;2015;5;13;0;24
3427050;2015;5;14;0;24
3427050;2015;5;15;0;24
3427050;2015;5;16;0;24
3427050;2015;5;17;0;24
3427050;2015;5;18;11,8;24
3427050;2015;5;19;0;24
3427050;2015;5;20;0;24
3427050;2015;5;21;11,5;24
3427050;2015;5;22;2,8;24
3427050;2015;5;23;0;24
3427050;2015;5;24;1,5;24
3427050;2015;5;25;0;24
3427050;2015;5;26;1;24
3427050;2015;5;27;0;24
3427050;2015;5;28;11,2;24
3427050;2015;5;29;0,8;24
3427050;2015;5;30;0;24
3427050;2015;5;31;0;24
3427050;2015;6;1;0;24
3427050;2015;6;2;0;24
3427050;2015;6;3;0;24
3427050;2015;6;4;3,7;24
3427050;2015;6;5;13,5;24
3427050;2015;6;6;9,8;24
3427050;2015;6;7;12,2;24
3427050;2015;6;8;0;24
3427050;2015;6;9;0;24
3427050;2015;6;10;0;24
3427050;2015;6;11;0;24
3427050;2015;6;12;0;24
3427050;2015;6;13;0;24
3427050;2015;6;14;0;24
3427050;2015;6;15;0;24
3427050;2015;6;16;0;24
3427050;2015;6;17;6,1;24
3427050;2015;6;18;0;24
3427050;2015;6;19;0;24
3427050;2015;6;20;2;24
3427050;2015;6;21;0;24
3427050;2015;6;22;0;24
3427050;2015;6;23;0;24
3427050;2015;6;24;0;24
3427050;2015;6;25;0;24
3427050;2015;6;26;0;24
3427050;2015;6;27;0;24
3427050;2015;6;28;0;24
3427050;2015;6;29;0;24
3427050;2015;6;30;0;24
3427050;2015;7;1;0;24
